Topic,Count,Name,Representation,Representative_Docs,pos_ratio,emotional_ratio,top_0_sentiment,top_1_sentiment,top_2_sentiment,top_0_emotion,top_1_emotion,top_2_emotion,top_0_intent,top_1_intent,top_2_intent,top_0_hashtags,top_1_hashtags,top_2_hashtags,top_3_hashtags,top_4_hashtags,top_0_emojis,top_1_emojis,top_2_emojis,top_3_emojis,top_4_emojis,top_0_ner,top_1_ner,top_2_ner,top_3_ner,top_4_ner
64,9664,64_ai_artificial_intelligence_artificialintelligence,"['ai', 'artificial', 'intelligence', 'artificialintelligence', 'read', 'nlp', 'robots', 'bigdata', 'datascience', '100daysofcode']",,0.7777777777777777,0.27,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Promotional,Opinion_sharing,#AI,#MachineLearning,#DataScience,#BigData,#IoT,🙏,😄,💥,😂,👏,BigData,#MachineLearning #,AI,GoLang #CloudComputing #Serverless,BigData #Analytics
65,10954,65_twitter_tweets_tweet_impressions,"['twitter', 'tweets', 'tweet', 'impressions', 'socialmedia', 'users', 'live', 'top10contributors', 'stats', 'received']",,0.7058823529411765,0.33999999999999997,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#DataScience,#IoT,#BigData,🙏,😄,😂,😉,👍,AI,BigData,Apple,🙏,#MachineLearning #
66,6770,66_iot_market_digitaltransformation_security,"['iot', 'market', 'digitaltransformation', 'security', 'growth', 'forecast', 'cloud', 'global', 'ccronaldvanloon', 'data']",,0.7407407407407407,0.27,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Promotional,Opinion_sharing,#AI,#DataScience,#IoT,#BigData,#MachineLearning,🙏,🤣,👍,💯,🌟,BigData #Analytics,GoLang #CloudComputing #Serverless,#BigData #Analytics,BigData,AI
67,10218,67_business_work_entrepreneurs_entrepreneurship,"['business', 'work', 'entrepreneurs', 'entrepreneurship', 'success', 'growth', 'future', 'strategy', 'people', 'culture']",,0.71875,0.32,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#IoT,#DigitalTransformation,#DataScience,🙏,™,😄,😂,📱,AI,NASA,BigData,🙏,CTO
68,20047,68_mypov_fyi_wow_yes,"['mypov', 'fyi', 'wow', 'yes', 'just', 'thats', 'hey', 'love', 'did', 'womens']",,0.6571428571428573,0.35,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#IoT,#MachineLearning,#BigData,#DataScience,😂,😄,😉,👍,🙏,AI,BigData,Apple,Google,Amazon
69,11486,69_iotpl_edgecomputing_iotcommunity_iiot,"['iotpl', 'edgecomputing', 'iotcommunity', 'iiot', 'edge', 'iot', 'industry40', 'edgeai', 'iotcl', 'bigdata']",,0.8620689655172414,0.29,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Promotional,Opinion_sharing,#AI,#DataScience,#MachineLearning,#BigData,#IoT,🙏,🌟,👉,➕,🥰,BigData,AI,#MachineLearning #,BigData #Analytics,AI #
70,19995,70_thats_exactly_just_yes,"['thats', 'exactly', 'just', 'yes', 'yeah', 'know', 'like', 'oh', 'hes', 'right']",,0.6578947368421053,0.38,Neutral,Positive,Negative,Neutral,Admiration,Joy,Opinion_sharing,Informational,Promotional,#AI,#DigitalTransformation,#CX,#IoT,#5G,😂,😄,😉,🙏,💡,AI,Amazon,Apple,CustomerExperience,Trump
71,10201,71_socialmedia_social_twitter_media,"['socialmedia', 'social', 'twitter', 'media', 'facebook', 'content', 'forbes', 'musk', 'digital', 'tech']",,0.7142857142857143,0.35,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#DataScience,#IoT,#DigitalTransformation,🙏,😄,😉,😎,😂,AI,GoLang #CloudComputing #Serverless,Apple,Google,BigData #Analytics
72,9274,72_ai_artificialintelligence_cc_iot,"['ai', 'artificialintelligence', 'cc', 'iot', 'ml', 'mi', 'machinelearning', 'bigdata', 'cybersecurity', 'datascience']",,0.8,0.3,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Promotional,Opinion_sharing,#AI,#BigData,#MachineLearning,#DataScience,#IoT,🙏,😊,👏,💥,😄,BigData,#MachineLearning #,AI,BigData #Analytics,Forbes
73,18068,73_thanks_thank_congrats_congratulations,"['thanks', 'thank', 'congrats', 'congratulations', 'awesome', 'happy', 'great', 'weekend', 'love', 'wonderful']",,0.676470588235294,0.3434343434343435,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#DataScience,#IoT,#BigData,😄,🙏,😂,👍,😉,AI,BigData,Apple,#MachineLearning #,Google
74,8252,74_ve_bir_bu_iin,"['ve', 'bir', 'bu', 'iin', 'ok', 'ufuktarhan', 'da', 'ile', 'futurist', 'daha']",,0.6470588235294118,0.16999999999999998,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#DataScience,#MachineLearning,#BigData,#ArtificialIntelligence,👇,🙏,😄,🚀,™,AI,Google,Apple,Amazon,Tesla
75,9367,75_peopleskillschat_host_join_global,"['peopleskillschat', 'host', 'join', 'global', '10am', 'sun', 'topic', 'weekly', 'thank', 'et']",,0.7058823529411765,0.33999999999999997,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#DataScience,#BigData,#futureofwork,🙏,😄,👍,👇,💫,BigData,AI,#MachineLearning #,Apple,🙏
76,11542,76_china_tax_money_inflation,"['china', 'tax', 'money', 'inflation', 'prices', 'rates', 'million', 'oil', 'gas', 'rate']",,0.6857142857142857,0.35,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#DataScience,#IoT,#BigData,😂,🙏,😉,👍,😄,AI,🙏,Apple,Amazon,BigData
77,18502,77_machinelearning_deeplearning_ai_artificialintelligence,"['machinelearning', 'deeplearning', 'ai', 'artificialintelligence', 'datascience', 'cc', 'bigdata', 'ml', 'intelligence', 'artificial']",,0.7857142857142857,0.27722772277227725,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Promotional,Opinion_sharing,#AI,#MachineLearning,#BigData,#DataScience,#IoT,💥,🙏,😄,😂,🌟,BigData,#MachineLearning #,AI,Forbes,SocialMedia
78,7328,78_leadership_leadmorale_peopleskills_peopleskillschat,"['leadership', 'leadmorale', 'peopleskills', 'peopleskillschat', 'leaders', 'rt', 'teamwork', 'leadershipskills', 'tysm', 'leadershipdevelopment']",,0.65625,0.32,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Question_query,#futureofwork,#futuretrends,#keynotespeaker,#futurejobs,#futuriststrategy,🙏,👇,😄,💜,😂,AI,Google,Amazon,WomenInTech,IoT
79,9181,79_cx_customerexperience_customer_experience,"['cx', 'customerexperience', 'customer', 'experience', 'join', 'employeeexperience', 'latest', 'leadership', 'generation', 'journey']",,0.5806451612903225,0.31,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Question_query,#AI,#IoT,#DigitalTransformation,#MachineLearning,#5G,🙏,😂,👍,😉,😄,AI,BigData,#MachineLearning #,WomenInTech,IoT
80,14575,80_artdesign_lifestyle_fashion_autos,"['artdesign', 'lifestyle', 'fashion', 'autos', 'eco', 'electric', 'sneakers', 'luxury', 'ev', 'tech']",,0.6875,0.32323232323232326,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#IoT,#DataScience,#BigData,🙏,😂,💫,😄,™,AI,BigData,Apple,Google,Amazon
81,11154,81_people_im_podcast_appreciate,"['people', 'im', 'podcast', 'appreciate', 'thanks', 'feedback', 'good', 'just', 'thoughts', 'sharing']",,0.7142857142857143,0.35,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#DataScience,#ArtificialIntelligence,#BigData,🙏,😄,📱,📲,😉,AI,BigData,🙏,Apple,#MachineLearning #
82,13358,82_thank_sharing_thanks_dear,"['thank', 'sharing', 'thanks', 'dear', 'mention', 'great', 'share', 'kind', 'glad', 'appreciated']",,0.7500000000000001,0.36,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#DataScience,#BigData,#IoT,🙏,➕,🌟,👍,😄,BigData,AI,🙏,Apple,PDF
83,11499,83_la_le_et_les,"['la', 'le', 'et', 'les', 'en', 'pour', 'des', 'du', 'que', 'dans']",,0.6129032258064516,0.31,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#DataScience,#BigData,#ArtificialIntelligence,🙏,😁,😄,😂,™,AI,BigData,Apple,Google,Amazon
84,10491,84_years_climate_people_world,"['years', 'climate', 'people', 'world', 'wealth', 'going', 'time', 'future', 'money', 'inflation']",,0.6666666666666666,0.3564356435643564,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#DataScience,#IoT,#DigitalTransformation,🙏,😂,😉,😄,👍,AI,Amazon,Trump,Apple,BigData
85,12318,85_iot_security_5g_ccronaldvanloon,"['iot', 'security', '5g', 'ccronaldvanloon', 'digitaltransformation', 'cloud', 'devices', 'network', 'technology', 'smart']",,0.72,0.25,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Promotional,Opinion_sharing,#IoT,#AI,#DataScience,#BigData,#Python,😂,🤣,😄,🙏,👏,GoLang #CloudComputing #Serverless,BigData #Analytics,#BigData #Analytics,AI,BigData
86,7576,86_quantum_iotpremierleague_latest_thanks,"['quantum', 'iotpremierleague', 'latest', 'thanks', 'congratulations', 'computing', 'iot', 'iotcommunity', 'data2decisions', 'flutter']",,0.8,0.3535353535353536,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Promotional,Opinion_sharing,#AI,#DataScience,#MachineLearning,#BigData,#IoT,🙏,🌟,👍,➕,🌻,BigData,#MachineLearning #,AI,🙏,PDF
87,5928,87_dear_followers_bangladesh_usa,"['dear', 'followers', 'bangladesh', 'usa', 'thank', 'india', 'love', 'week', 'day', 'new']",,0.7142857142857143,0.35,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#BigData,#MachineLearning,#DataScience,#IoT,🙏,👍,💫,😄,➕,BigData,AI,#MachineLearning #,🙏,Apple
88,13662,88_mathematics_source_physics_universe,"['mathematics', 'source', 'physics', 'universe', 'beauty', 'geometry', 'mandelbrot', 'art', 'ancient', 'mystery']",,0.6285714285714287,0.35,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#IoT,#DataScience,#5G,™,😂,🙏,😄,😉,AI,🙏,Trump,Microblog &,Apple
89,8134,89_change_leadershipofchange_changemanagement_management,"['change', 'leadershipofchange', 'changemanagement', 'management', 'leadership', 'organisational', 'organisation', 'employees', 'knowledge', 'adoption']",,0.29411764705882354,0.51,Neutral,Negative,Positive,Neutral,Disgust,Admiration,Opinion_sharing,Informational,Question_query,#AI,#DigitalTransformation,#IoT,#5G,#futureofwork,⚖️,😂,😈,🤣,🔥,Trump,Russian,FBI,GOP,American
90,7706,90_leadership_culture_leaders_people,"['leadership', 'culture', 'leaders', 'people', 'work', 'employees', 'workplace', 'success', 'skills', 'organizations']",,0.65625,0.32,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#IoT,#DigitalTransformation,#DataScience,🙏,👍,😊,😉,😂,AI,BigData,#MachineLearning #,Apple,NASA
91,6402,91_leadership_change_leadershipofchange_changemanagement,"['leadership', 'change', 'leadershipofchange', 'changemanagement', 'leaders', 'management', 'gallagher', 'peter', 'speaking', 'futureofwork']",,0.5428571428571429,0.35,Neutral,Positive,Negative,Neutral,Admiration,Disgust,Informational,Opinion_sharing,Question_query,#AI,#MachineLearning,#DigitalTransformation,#IoT,#DataScience,⚖️,🙏,😂,😎,😈,AI,Trump,BigData,#MachineLearning #,Apple
92,11577,92_im_week_good_time,"['im', 'week', 'good', 'time', 'got', 'morning', 'just', 'hope', 'year', 'day']",,0.676470588235294,0.34,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#IoT,#tech,#ArtificialIntelligence,🙏,😂,😄,👍,😉,AI,BigData,Apple,#MachineLearning #,🙏
93,10088,93_future_podcast_metaverse_new,"['future', 'podcast', 'metaverse', 'new', '2022', 'excited', 'episode', '2021', 'space', 'year']",,0.71875,0.32,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#DataScience,#DeepLearning,#IoT,🙏,™,😊,💫,❤️,AI,BigData,#MachineLearning #,🙏,Apple
94,14565,94_apple_app_facebook_phone,"['apple', 'app', 'facebook', 'phone', 'google', 'torrentfreak', 'apps', 'twitter', 'users', 'privacy']",,0.6944444444444444,0.36,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#ArtificialIntelligence,#DataScience,#MI,😉,😄,🍁,🙏,💡,AI,🙏,Google,Apple,Amazon
95,11847,95_climate_country_war_world,"['climate', 'country', 'war', 'world', 'democracy', 'america', 'countries', 'people', 'power', 'think']",,0.6216216216216216,0.37,Neutral,Positive,Negative,Neutral,Admiration,Joy,Opinion_sharing,Informational,Question_query,#AI,#MachineLearning,#DataScience,#ArtificialIntelligence,#IoT,😂,😉,📲,😁,📱,AI,Trump,Google,un,🙏
96,15060,96_raises_valuation_startup_retail,"['raises', 'valuation', 'startup', 'retail', 'million', 'price', 'buy', 'series', 'market', 'sales']",,0.71875,0.32,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#DigitalTransformation,#IoT,#MachineLearning,#cx,💡,👍🏻,😉,🙏,👏🏻,AI,Apple,Google,🙏,Amazon
97,11830,97_bigdata_artificialintelligence_datascience_machinelearning,"['bigdata', 'artificialintelligence', 'datascience', 'machinelearning', 'iot', 'analytics', '100daysofcode', 'ai', 'nlp', 'deeplearning']",,0.8571428571428572,0.27999999999999997,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Promotional,Opinion_sharing,#AI,#MachineLearning,#DataScience,#BigData,#IoT,🙏,😄,🌟,👉,👏,BigData,#MachineLearning #,AI,FinTech,RegTech & #Regulation News
98,8845,98_quotes_peopleskillschat_war_ukraine,"['quotes', 'peopleskillschat', 'war', 'ukraine', 'sundaythoughts', 'weekendwisdom', 'sundaymotivation', 'world', 'politics', 'blackhistorymonth']",,0.6944444444444444,0.36,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#ArtificialIntelligence,#IoT,#BigData,😄,😂,🙏,👍,😉,AI,BigData,CXQOTD,#MachineLearning #,Apple
99,16411,99_mypov_thats_missouri_just,"['mypov', 'thats', 'missouri', 'just', 'did', 'covid', 'know', 'people', 'federal', 'police']",,0.6756756756756757,0.37,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Question_query,#AI,#MachineLearning,#IoT,#ArtificialIntelligence,#DataScience,😂,😉,😄,😁,🙏,AI,BigData,Amazon,🙏,Apple
